verb	verb_id	object	sentence	phrase
stimulated	14	formation	In cells expressing only the D1 receptor , DOPAMINE STIMULATED cAMP FORMATION with an EC50 of 2.15 nM. In cells expressing only the D2L receptor , dopamine inhibited cAMP formation by 80 % with an EC50 of 0.02 nM. The effect of dopamine on the D2L receptor was antagonized by the selective antagonist spiperone with an IC50 of 0.31 nM. In cells coexpressing both the D1 and D2L receptors , dopamine caused an increase in cAMP that was only 20 % of that observed with the D1 receptor alone .	...dopamine stimulated cAMP formation with...
inhibited	2	formation	In cells expressing only the D1 receptor , dopamine stimulated cAMP formation with an EC50 of 2.15 nM. In cells expressing only the D2L receptor , DOPAMINE INHIBITED cAMP FORMATION by 80 % with an EC50 of 0.02 nM. The effect of dopamine on the D2L receptor was antagonized by the selective antagonist spiperone with an IC50 of 0.31 nM. In cells coexpressing both the D1 and D2L receptors , dopamine caused an increase in cAMP that was only 20 % of that observed with the D1 receptor alone .	...dopamine inhibited cAMP formation by...
caused	8	increase	In cells expressing only the D1 receptor , dopamine stimulated cAMP formation with an EC50 of 2.15 nM. In cells expressing only the D2L receptor , dopamine inhibited cAMP formation by 80 % with an EC50 of 0.02 nM. The effect of dopamine on the D2L receptor was antagonized by the selective antagonist spiperone with an IC50 of 0.31 nM. In cells coexpressing both the D1 and D2L receptors , DOPAMINE CAUSED an INCREASE in cAMP that was only 20 % of that observed with the D1 receptor alone .	...dopamine caused an increase in...
showed	21	increases	In 74-mM Tris-HBr or -HCl , only DOPAMINE and d-amphetamine SHOWED binding INCREASES upon raising Na(+ ) , leveling off with NO(3)(- ) or SO(4)(2- ) but not Br(- ) as anion at approximately 60 mM Na(+ ) , consonant with a partly stimulatory action of Br(- ) .	...dopamine and d-amphetamine showed binding increases upon...
modulates	10	networks	These results support evidence from basic research that DOPAMINE MODULATES cortical NETWORKS subserving working memory and motor function via two distinct mechanisms : nigrostriatal projections facilitate motor function indirectly via thalamic projections to motor cortices , whereas the mesocortical dopaminergic system facilitates working memory function via direct inputs to prefrontal cortex .	...dopamine modulates cortical networks subserving...
lowers	80	release	Methylphenidate elevates resting DOPAMINE which LOWERS the impulse-triggered RELEASE of dopamine : a hypothesis .	...dopamine which lowers the impulse-triggered release of...
upregulates	-1	expression	The present data show that DOPAMINE , via D1/D5 receptors , UPREGULATES c-fos EXPRESSION in subthalamic neurons , and that the high expression of D5 receptors in this area might be involved .	...dopamine , via D1/D5 receptors , upregulates c-fos expression in...
trigger	78	erection	Somehow more specific to sexual function , it is likely that DOPAMINE can TRIGGER penile ERECTION by acting on oxytocinergic neurons located in the paraventricular nucleus of the hypothalamus , and perhaps on the pro-erectile sacral parasympathetic nucleus within the spinal cord .	...dopamine can trigger penile erection by...
reduces	42	output	As a result , DOPAMINE REDUCES the hormonal OUTPUT of the cell .	...dopamine reduces the hormonal output of...
modulates	10	)	Here we show that DOPAMINE differentially MODULATES the HVA Ca(2 + ) channels and that it affects the stimulus-secretion coupling through a direct effect on the exocytotic machinery .	...dopamine differentially modulates the HVA Ca(2 + ) channels...
affects	29	entry	To test whether DOPAMINE AFFECTS the release machinery downstream of Ca(2 + ) ENTRY , we stimulated exocytosis by dialyzing cells with buffered high-Ca(2 + ) solutions .	...dopamine affects the release machinery downstream of Ca(2 + ) entry ,...
inhibit	13	uptake	LAT1-mediated [(14)C]phenylalanine uptake was strongly inhibited in a competitive manner by aromatic-amino acid derivatives including L-dopa , alpha-methyldopa , melphalan , triiodothyronine , and thyroxine , whereas phenylalanine methyl ester , N-methyl phenylalanine , DOPAMINE , tyramine , carbidopa , and droxidopa did not INHIBIT [(14)C]phenylalanine UPTAKE .	...dopamine , tyramine , carbidopa , and droxidopa did not inhibit [(14)C]phenylalanine uptake ....
modulates	10	cascade	The results suggest that DOPAMINE , via D4 receptors , normally MODULATES the CASCADE that couples light responses to adenylyl cyclase activity in photoreceptor cells , and the absence of this modulation results in dysfunction of the cascade .	...dopamine , via D4 receptors , normally modulates the cascade that...
share	60	pathway	Under these conditions , PMA and DOPAMINE SHARE the same signaling PATHWAY to inhibit the Na(+),K(+)-ATPase .	...dopamine share the same signaling pathway to...
decreased	23	accumulation	The attenuating effect of dopamine on IL-12 p40 production appeared to be pretranslational , because DOPAMINE DECREASED mRNA ACCUMULATION of IL-12 p40 .	...dopamine decreased mRNA accumulation of...
stimulated	14	production	Furthermore , DOPAMINE STIMULATED the PRODUCTION of the anti-inflammatory cytokine IL-10 in both J774.1 cells and peritoneal macrophages .	...dopamine stimulated the production of...
increased	1	production	While the stimulatory effect of dopamine on IL-10 production by J774.1 cells was beta-adrenoceptor-mediated , DOPAMINE INCREASED IL-10 PRODUCTION by peritoneal macrophages via both beta-adrenoceptor-dependent and independent mechanisms .	...dopamine increased IL-10 production by...
has	4	effects	These results indicate that DOPAMINE HAS multiple anti-inflammatory EFFECTS mediated by both beta-adrenoceptor dependent and independent mechanisms .	...dopamine has multiple anti-inflammatory effects mediated...
worsened	-1	edema	In contusional injury , DOPAMINE significantly WORSENED EDEMA in both the ipsi- and contralateral hippocampus and temporal cortex .	...dopamine significantly worsened edema in...
caused	8	increase	Both DOPAMINE and the D1 agonist SKF81297 CAUSED a dose-dependent INCREASE in phosphorylation of the transcriptional regulator Ca2+/cyclic AMP response element ( CRE ) binding protein ( CREB ) in suprachiasmatic GABA-immunoreactive ( -IR ) neurons held in primary culture .	...dopamine and the D1 agonist SKF81297 caused a dose-dependent increase in...
inhibit	13	cotransport	Parathyroid hormone ( PTH ) and DOPAMINE ( DA ) INHIBIT Na-K ATPase activity and sodium-phosphate COTRANSPORT in proximal tubular cells .	...dopamine ( DA ) inhibit Na-K ATPase activity and sodium-phosphate cotransport in...
modulates	10	hyperventilation	Central DOPAMINE MODULATES anapyrexia but not HYPERVENTILATION induced by hypoxia .	...dopamine modulates anapyrexia but not hyperventilation induced...
have	9	association	The results showed that epinephrine had a significant effect on TMJ tenderness , while norepinephrine and DOPAMINE did not HAVE a significant ASSOCIATION with any of the signs and symptoms of CMD .	...dopamine did not have a significant association with...
caused	8	contraction	In crawling snails , DOPAMINE CAUSED sole CONTRACTION , and locomotion slowed down or ceased .	...dopamine caused sole contraction ,...
controls	68	speed	It is proposed that , during each locomotor episode , DOPAMINE CONTROLS snail SPEED by regulating sole length , which determines the amplitude of contraction of the muscle cells involved in pedal waves and , as a result , step length ; serotonin determines the basic step length and shifts the linear relationship between sole length and mollusc speed upwards along the axis of mollusc speed .	...dopamine controls snail speed by...
induced	12	depolarization	Basolateral DOPAMINE ( DA ) INDUCED a dose-dependent DEPOLARIZATION of transepithelial voltage .	...dopamine ( DA ) induced a dose-dependent depolarization of...
induced	12	apoptosis	High concentrations of DOPAMINE , which INDUCED APOPTOSIS , also increased p53 levels , detected by RT-PCR analysis and immunoblotting , whereas lower dopamine concentrations , which induced a differentiated phenotype , did not increase p53 immunoblotting .	...dopamine , which induced apoptosis ,...
modulates	10	increases	To investigate whether DOPAMINE MODULATES the INCREASES of GABA produced by NMDA and AMPA , endogenous dopamine was increased with the dopamine uptake inhibitor nomifensine .	...dopamine modulates the increases of...
modulate	15	effects	These results suggest that glutamate , through the activation of both NMDA and AMPA/kainate ionotropic receptors , facilitates GABAergic transmission in the prefrontal cortex , and that DOPAMINE can MODULATE the EFFECTS of glutamate through AMPA/kainate receptors on GABA transmission in this area of the brain .	...dopamine can modulate the effects of...
decreased	23	SVR	Following endotoxin administration DOPAMINE DECREASED SVR and maintained a CI better than fluid alone .	...dopamine decreased SVR and...
exerts	11	action	These results show that endogenous DOPAMINE EXERTS a dual excitatory ACTION on FS interneurons , by directly depolarizing them ( through D1-like receptors ) and by reducing their synaptic inhibition ( through presynaptic D2-like receptors ) .	...dopamine exerts a dual excitatory action on...
regulates	22	laying	The neurotransmitter DOPAMINE REGULATES locomotion and egg LAYING in the nematode Caenorhabditis elegans .	...dopamine regulates locomotion and egg laying in...
had	5	effects	Norepinephrine and DOPAMINE HAD the greatest enhancing EFFECTS on growth of cultures of Pseudomonas aeruginosa and Klebsiella pneumoniae , while epinephrine and isoproterenol also enhanced growth to a lesser extent .	...dopamine had the greatest enhancing effects on...
modulates	10	synapses	In the striatum , DOPAMINE MODULATES excitatory glutamatergic SYNAPSES of the projections from the frontal cortex to striatal neurons , which in turn project back to the frontal cortex via the pallidum and ventral thalamus .	...dopamine modulates excitatory glutamatergic synapses of...
plays	3	role	Among these mediators , DOPAMINE PLAYS an important ROLE .	...dopamine plays an important role ....
plays	3	roles	Recent evidence suggests that DOPAMINE PLAYS important ROLES in the metamorphic pathway of Crepidula fornicata .	...dopamine plays important roles in...
affect	19	behavior	We have now identified in quail two possible ways in which DOPAMINE could potentially AFFECT sexual BEHAVIOR by modulating the aromatization of testosterone into an estrogen .	...dopamine could potentially affect sexual behavior by...
activates	40	proteins	Recently it has been described that DOPAMINE ( DA ) , via dopaminergic type 2 receptors ( D(2)R ) , ACTIVATES the mitogen-activated protein kinase extracellular signal-regulated kinase ( MAPK/ERK ) PROTEINS in alveolar epithelial cells ( AEC ) , which results in the upregulation of Na(+)-K(+)-ATPase .	...dopamine ( DA ) , via dopaminergic type 2 receptors ( D(2)R ) , activates the mitogen-activated protein kinase extracellular signal-regulated kinase ( MAPK/ERK ) proteins in...
aggravates	-1	loss	Administration of L-DOPA is commonly used to treat Parkinson 's disease , yet controversy continues as to whether the DOPAMINE arising from it AGGRAVATES neuronal LOSS .	...dopamine arising from it aggravates neuronal loss ....
has	4	effect	The purpose of this study was to examine whether DOPAMINE HAS an EFFECT on occurance of central ventilatory depression which is seen in acute hypoxia in peripheral chemoreceptors denervated animals .	...dopamine has an effect on...
increases	17	frequency	These results indicate that DOPAMINE , presynaptically acting on dopamine D1 receptors , INCREASES the FREQUENCY of spontaneous EPSCs via intracellular protein kinase A and protein kinase C signaling pathways in pyramidal cells of layers V-VI of the prelimbic cortex .	...dopamine , presynaptically acting on dopamine D1 receptors , increases the frequency of...
inhibited	2	antagonists	Both DOPAMINE and DHX INHIBITED adenylate cyclase activity in a concentration-dependent manner in both systems , effects blocked by D(2 ) , but not D(1 ) , ANTAGONISTS .	...dopamine and DHX inhibited adenylate cyclase activity in a concentration-dependent manner in both systems , effects blocked by D(2 ) , but not D(1 ) , antagonists ....
activated	-1	current	In 43 % ( 58/134 ) of the sampled pericytes , we found that DOPAMINE reversibly ACTIVATED a hyperpolarizing CURRENT , which increased the membrane potential by 19 + /- 1 mV. This dopamine-induced current was inhibited by the ATP-sensitive potassium ( KATP ) channel blocker , glibenclamide .	...dopamine reversibly activated a hyperpolarizing current ,...
increased	1	performance	Administering DOPAMINE after the development of diaphragm fatigue ( group II ) INCREASED diaphragm PERFORMANCE as measured by increased diaphragm shortening and was accompanied by an increased diaphragm blood flow .	...dopamine after the development of diaphragm fatigue ( group II ) increased diaphragm performance as...
prevented	56	fatigue	Administering DOPAMINE prior to and throughout IRL ( group III ) PREVENTED diaphragm FATIGUE .	...dopamine prior to and throughout IRL ( group III ) prevented diaphragm fatigue ....
prevent	64	fatigue	Low-dose DOPAMINE can PREVENT and/or reverse diaphragm FATIGUE in rats without a significant change in aortic blood flow .	...dopamine can prevent and/or reverse diaphragm fatigue in...
regulate	26	temperature	Because serotonin and DOPAMINE can REGULATE ( decrease ) body TEMPERATURE , we treated mice with haloperidol ( dopamine receptor antagonist ) , 5,7-dihydroxytryptamine ( serotonin production inhibitor ) , or ritanserin ( serotonin receptor antagonist ) prior to injection of DHEA .	...dopamine can regulate ( decrease ) body temperature ,...
plays	3	role	The present results demonstrate that DOPAMINE , via D1 and D2 receptors outside the striatum , PLAYS an important ROLE in the control of ascorbate release .	...dopamine , via D1 and D2 receptors outside the striatum , plays an important role in...
further	-1	by	These results indicate that DOPAMINE , which is the major transmitter secreted by glomus cells , regulates FURTHER transmitter release BY feedback inhibition of Ca2 + channels .	...dopamine , which is the major transmitter secreted by glomus cells , regulates further transmitter release by feedback...
exerts	11	influence	These results suggest that DOPAMINE EXERTS a direct excitatory INFLUENCE on STN neurons via the activation of D2-like receptors .	...dopamine exerts a direct excitatory influence on...
influences	38	behavior	Less is known about the role of this system in modulating emotional responses , although a number of lines of evidence suggest that DOPAMINE INFLUENCES emotional BEHAVIOR .	...dopamine influences emotional behavior ....
enhance	63	localization	Both DOPAMINE and U0126 ENHANCE the nuclear LOCALIZATION of ERF , a MAPK-sensitive ETS repressor that inhibits prolactin promoter activity .	...dopamine and U0126 enhance the nuclear localization of...
regulates	22	K-ATPase	The purpose of this study was to define mechanisms by which DOPAMINE ( DA ) REGULATES the Na , K-ATPASE in alveolar epithelial type 2 ( AT2 ) cells .	...dopamine ( DA ) regulates the Na , K-ATPase in...
increased	1	activity	Accordingly , DOPAMINE INCREASED Na , K-ATPase ACTIVITY in alveolar epithelial cells through the exocytosis of Na , K-pumps from late endosomes into the basolateral membrane in a mechanism-dependent activation of the novel protein kinase C isozymes PKC-delta and PKC-epsilon .	...dopamine increased Na , K-ATPase activity in...
called	-1	bodies	We find that octopamine , DOPAMINE and a region in the Drosophila brain CALLED the mushroom BODIES , all profoundly influence the expression of aggressive behaviour .	...dopamine and a region in the Drosophila brain called the mushroom bodies ,...
stimulates	16	receptor	The DOPAMINE released STIMULATES postsynaptic D1 RECEPTOR to modulate a lasting potentiation of the NMDA receptor component of the glutamatergic synaptic responses in the PFC neuronal network .	...dopamine released stimulates postsynaptic D1 receptor to...
lowered	57	binding	Using [3H]sulpiride to label D2Long receptors in CHO cells , it was found that DOPAMINE LOWERED the BINDING of [3H]sulpiride by 20 % .	...dopamine lowered the binding of...
increased	1	[cAMP]i	Whereas in STC-1 cells DOPAMINE and the D1-like ( D1/D5 ) receptor agonist SKF 38393 INCREASED [CAMP]I , [cAMP]i was decreased by dopamine or the D2-like ( D2-D4 ) receptor agonist quinpirole in BON cells .	...dopamine and the D1-like ( D1/D5 ) receptor agonist SKF 38393 increased [cAMP]i ,...
inhibited	2	nerve	In this study DOPAMINE INHIBITED vagal sensory NERVE induced microvascular leakage in the rat .	...dopamine inhibited vagal sensory nerve induced...
induce	27	bursting	With high NMDA concentrations DOPAMINE did not INDUCE the transition phase or the slow ventral root BURSTING .	...dopamine did not induce the transition phase or the slow ventral root bursting ....
showed	21	alteration	The decreased DOPAMINE ( DA ) , 3,4-dihydroxyphenylacetic acid ( DOPAC ) and homovallinic acid ( HVA ) contents in cerebellum , midbrain , ventral tegmental area ( VTA ) and prefrontal cortex ( PFc ) SHOWED an ALTERATION in the mesocorticolimbic system .	...dopamine ( DA ) , 3,4-dihydroxyphenylacetic acid ( DOPAC ) and homovallinic acid ( HVA ) contents in cerebellum , midbrain , ventral tegmental area ( VTA ) and prefrontal cortex ( PFc ) showed an alteration in...
affects	29	transmission	We have examined how DOPAMINE AFFECTS excitatory synaptic TRANSMISSION in the PFC using whole-cell patch-clamp recording from visually identified layer II-III pyramidal cells in vitro .	...dopamine affects excitatory synaptic transmission in...
affect	19	EPSCs	When the PKA inhibitory peptide PKI [ 5 - 24 ] was included in the recording pipette , DOPAMINE did not AFFECT EPSCS .	...dopamine did not affect EPSCs ....
have	9	effects	Taken together , serotonin and DOPAMINE may HAVE differential EFFECTS on attentional processing depending on time after stimulus presentation .	...dopamine may have differential effects on...
requires	-1	adsorption	Once the monolayer is switched ON , it supports rapid electron exchange with outer-sphere redox systems , but not with DOPAMINE , which REQUIRES ADSORPTION to the GC surface .	...dopamine , which requires adsorption to...
suppressed	35	component	4 ) Neither low-dose DOPAMINE nor somatostatin SUPPRESSED any COMPONENT of ventilation that could not be suppressed by acute hyperoxia .	...dopamine nor somatostatin suppressed any component of...
disturb	-1	metamorphosis	Both GBP and DOPAMINE DISTURB host development and METAMORPHOSIS ( Hayakawa , 1995 ) .	...dopamine disturb host development and metamorphosis (...
influence	34	activity	This nucleus has a pivotal role in basal ganglia function and voluntary movement control and the possibility that DOPAMINE , and dopaminergic medication used in Parkinson 's disease , might directly INFLUENCE its ACTIVITY is of considerable interest .	...dopamine , and dopaminergic medication used in Parkinson 's disease , might directly influence its activity is...
promotes	65	phosphorylation	We demonstrated that exposure of neostriatal slices to 8-bromo-cAMP , DOPAMINE , calyculin A , or cyclosporine A , but not to 10 nM okadaic acid , PROMOTES the PHOSPHORYLATION of neostriatal InsP3R1 by PKA in vivo .	...dopamine , calyculin A , or cyclosporine A , but not to 10 nM okadaic acid , promotes the phosphorylation of...
have	9	role	The results suggest that DOPAMINE may HAVE a direct ROLE in regulating immune responses through down-regulation of IFN gamma .	...dopamine may have a direct role in...
modulates	10	channels	The results suggest that DOPAMINE MODULATES the L-type Ca(2 + ) CHANNELS in rat olfactory receptor neurons via the mechanism independent of voltage .	...dopamine modulates the L-type Ca(2 + ) channels in...
play	6	role	Previous studies have shown that DOPAMINE ( DA ) may PLAY an important ROLE in mediating or modulating the facilitating action of clozapine in glutamatergic transmission .	...dopamine ( DA ) may play an important role in...
induces	18	activation	These results show that , in renal proximal tubule cells , DOPAMINE INDUCES oxidative stress , ACTIVATION of pro-apoptotic cascade , and cell apoptosis exclusively by mechanisms involving H(2)O(2 ) production by monoamine oxidases .	...dopamine induces oxidative stress , activation of...
mediates	24	drugs	For several decades , it has been suggested that DOPAMINE ( DA ) , especially in nucleus accumbens , MEDIATES the primary reinforcing characteristics of natural stimuli such as food , as well as DRUGS of abuse .	...dopamine ( DA ) , especially in nucleus accumbens , mediates the primary reinforcing characteristics of natural stimuli such as food , as well as drugs of...
plays	3	role	Thus , NAcc DOPAMINE not only PLAYS a ROLE in conditioned behavioural activation , but also in making the appropriate discriminated response i.e. the direction of response .	...dopamine not only plays a role in...
play	6	roles	This difference in lesion-induced impairment implies that mesoaccumbens DOPAMINE may PLAY differential ROLES in the learning and performance of preparatory Pavlovian conditioning .	...dopamine may play differential roles in...
=	54	dobutamine	On the other hand , each drug significantly increased the adenylate cyclase activity in a dose-related manner : colforsin daropate & gt;&gt ; isoproterenol & gt ; DOPAMINE = DOBUTAMINE .	...dopamine = dobutamine ....
plays	3	role	The neurotransmitter DOPAMINE ( DA ) PLAYS a central ROLE in the coordination of movement , attention , and the recognition of reward .	...dopamine ( DA ) plays a central role in...
controls	68	dynamics	The basic idea is that DOPAMINE CONTROLS the circuit DYNAMICS for the operations by changing the ratio of the NMDA-channel transmission to the AMPA-channel transmission .	...dopamine controls the circuit dynamics for...
have	9	roles	Third , DOPAMINE would HAVE major ROLES in the operations of multi-target spatial working memory .	...dopamine would have major roles in...
inhibits	0	K-ATPase	In the kidney , DOPAMINE INHIBITS Na , K-ATPASE , which results in natriuresis because less Na+ is reabsorbed by the proximal and distal tubules .	...dopamine inhibits Na , K-ATPase ,...
stimulates	16	activity	In contrast , DOPAMINE STIMULATES Na , K-ATPase ACTIVITY in the alveolar epithelium , leading to increased alveolar fluid reabsorption .	...dopamine stimulates Na , K-ATPase activity in...
increases	17	not	Importantly , DOPAMINE INCREASES alveolar fluid reabsorption NOT only in normal alveolar epithelium but also in models of lung injury .	...dopamine increases alveolar fluid reabsorption not only...
influences	38	response	They also suggest the possibility that meso-amygdaloid DOPAMINE INFLUENCES the nucleus accumbens dopamine RESPONSE to stress indirectly by modulating stress-induced dopamine release in medial prefrontal cortex .	...dopamine influences the nucleus accumbens dopamine response to...
depresses	86	transmission	We have previously reported that DOPAMINE DEPRESSES excitatory TRANSMISSION between pyramidal neurons in the prefrontal cortex .	...dopamine depresses excitatory transmission between...
enhanced	33	excitability	However , DOPAMINE has directly ENHANCED the EXCITABILITY of the FS interneurons to the extent that even a single excitatory postsynaptic potential could initiate spiking with great temporal precision in some of them .	...dopamine has directly enhanced the excitability of...
modulates	10	transmission	Furthermore , although DOPAMINE ( DA ) MODULATES excitatory glutamate TRANSMISSION in both areas , possible anatomic substrates for specific DA modulation of PVT inputs have not yet been investigated .	...dopamine ( DA ) modulates excitatory glutamate transmission in...
depressed	71	transmission	We found that DOPAMINE DEPRESSED inhibitory TRANSMISSION between FS interneurons and pyramidal neurons but enhanced inhibition between non-FS interneurons and pyramidal cells .	...dopamine depressed inhibitory transmission between...
increases	17	activity	Thus , recruitment of new Na(+),K(+)-ATPase molecules into the plasma membrane appears to be a major mechanism by which DOPAMINE INCREASES total cell Na(+),K(+)-ATPase ACTIVITY .	...dopamine increases total cell Na(+),K(+)-ATPase activity ....
modulates	10	influences	Endogenous DOPAMINE MODULATES corticopallidal INFLUENCES via GABA .	...dopamine modulates corticopallidal influences via...
depresses	86	transmission	We have previously reported that DOPAMINE ( DA ) DEPRESSES non-NMDA receptor-mediated glutamatergic TRANSMISSION in the rat parabrachial nucleus ( PBN ) , an interface between brainstem and forebrain that is implicated in autonomic regulation .	...dopamine ( DA ) depresses non-NMDA receptor-mediated glutamatergic transmission in...
alter	39	backpropagation	Finally , we tested whether DOPAMINE , a prominent neuromodulator associated with prefrontal activity , could ALTER AP initiation or BACKPROPAGATION .	...dopamine , a prominent neuromodulator associated with prefrontal activity , could alter AP initiation or backpropagation ....
effect	-1	signaling	Bath-applied DOPAMINE ( 10 or 100 microm ) did not EFFECT AP backpropagation , frequency-dependent depression , local dendritic spike initiation , or AP-induced calcium SIGNALING .	...dopamine ( 10 or 100 microm ) did not effect AP backpropagation , frequency-dependent depression , local dendritic spike initiation , or AP-induced calcium signaling ....
play	6	role	These data suggest that superoxide and endogenous DOPAMINE PLAY an important ROLE in dopaminergic neuronal loss .	...dopamine play an important role in...
improves	45	flow	Renal dose DOPAMINE given to organ donors IMPROVES renal blood FLOW and therefore should theoretically improve the quality of the renal grafts and increase the incidence of immediate graft function ( IGF ) .	...dopamine given to organ donors improves renal blood flow and...
has	4	effect	In contrast , DOPAMINE given at doses of greater than 4 microg/kg per min to hypotensive donors to elevate the systemic blood pressure HAS a direct adrenergic EFFECT and causes vasoconstriction .	...dopamine given at doses of greater than 4 microg/kg per min to hypotensive donors to elevate the systemic blood pressure has a direct adrenergic effect and...
affects	29	activity	We have investigated whether DOPAMINE also AFFECTS synchronized network ACTIVITY in the hippocampus , which has been ascribed to play a pivotal role in memory formation .	...dopamine also affects synchronized network activity in...
depresses	86	oscillations	The data indicate that DOPAMINE strongly DEPRESSES cholinergic gamma OSCILLATIONS in area CA3 of rat hippocampus by activation of D1-like dopamine receptors and that this effect is most likely mediated via impairment of interneurons involved in generation and maintenance of the carbachol-induced network rhythm .	...dopamine strongly depresses cholinergic gamma oscillations in...
include	-1	indoles	The second set , however , are the result of neurological damage caused by metabolites of DOPAMINE , which INCLUDE dopachrome and other chrome INDOLES that are both hallucinogenic and neurotoxic .	...dopamine , which include dopachrome and other chrome indoles that...
inhibited	2	production	On the other hand , DOPAMINE , bromocriptine , 7-OH-DAPT , and haloperidol markedly INHIBITED the nitric oxide PRODUCTION from RAW 264.7 cells ( IC50 values , 10 - 20 microM ) .	...dopamine , bromocriptine , 7-OH-DAPT , and haloperidol markedly inhibited the nitric oxide production from...
increases	17	percentage	To evaluate the potential direct effect of dopamine on pituitary cells , pituitary monolayer cultures were treated with dopamine during a time-course of 12 h. Our in vitro studies revealed that DOPAMINE INCREASES the PERCENTAGE of nNOS-positive cells and augments cellular area ( p&lt;0.05 ) .	...dopamine increases the percentage of...
exerts	11	effect	These results demonstrate that : ( 1 ) treatment of rats in vivo with a dopamine antagonist significantly decreases expression of nNOS in the pituitary and ( 2 ) in vitro DOPAMINE EXERTS a direct EFFECT on pituitary cultures by increasing nNOS-positive cells .	...dopamine exerts a direct effect on...
prevent	64	insufficiency	Moreover , this review summarizes articles on the topics of : Low-dose DOPAMINE does not PREVENT acute renal INSUFFICIENCY , increase of mortality is not related to albumin infusion , subglottic suctioning prevents early onset of ventilator associated pneumonia , prone position in ARDS patients has no influence on mortality , the safest site for central venous catheterization , and pulmonary-artery catheter directed therapy has no influence on mortality of high-risk surgical patients .	...dopamine does not prevent acute renal insufficiency ,...
regulates	22	activity	Moreover , the functional ramifications of these changes appear to include profound alterations in the way DOPAMINE REGULATES neuronal ACTIVITY in this region .	...dopamine regulates neuronal activity in...
enhanced	33	activity	In the chromaffin tissue DOPAMINE apparently ENHANCED the ACTIVITY of PNMT enzyme ; in fact a strong raise in the number of adrenaline cells and a decrease in the number of noradrenaline cells were observed , decreasing the numeric NA/A cell ratio , from 1.4/1 of control specimens to 0.5/1 24h after the fourth dopamine injection .	...dopamine apparently enhanced the activity of...
suppresses	66	transients	We found that & lt;50 microM DOPAMINE reversibly SUPPRESSES odor-induced Ca2 + TRANSIENTS in ORNs .	...dopamine reversibly suppresses odor-induced Ca2 + transients in...
reduced	20	excitability	In addition , DOPAMINE reversibly REDUCED ORN EXCITABILITY as evidenced by reduced amplitude and frequency of Ca2 + transients in response to elevated K(+ ) , which activates voltage-gated Ca2 + channels in ORNs .	...dopamine reversibly reduced ORN excitability as...
characterises	-1	disease	The loss of central DOPAMINE , which CHARACTERISES Parkinson 's DISEASE , led to the main pharmacological strategy for treatment , namely levodopa , a dopamine-replacement therapy .	...dopamine , which characterises Parkinson 's disease ,...
inhibited	2	currents	However , using slice preparations from D2R-deficient [ D2 knock-out ( D2KO ) ] mice , we found that DOPAMINE INHIBITED GABA(A)-receptor-mediated CURRENTS in GP neurons .	...dopamine inhibited GABA(A)-receptor-mediated currents in...
provides	83	modulation	For normal regulation of motor , affective , and cognitive functions , DOPAMINE PROVIDES an essential MODULATION of glutamate transmission within multiple brain regions .	...dopamine provides an essential modulation of...
modulates	10	activity	First , DOPAMINE MODULATES the ACTIVITY of glutamate neurons within the cerebral cortex .	...dopamine modulates the activity of...
mediates	24	integration	Along with previous reports of dopaminergic attenuation of limbic afferents to the accumbens , these findings support the hypothesis that DOPAMINE MEDIATES the selection and INTEGRATION of excitatory inputs and thus shapes information processing in accumbens output neurons .	...dopamine mediates the selection and integration of...
modulates	10	signaling	We propose a mechanism for ARS in C. elegans in which DOPAMINE , released in response to food , MODULATES glutamatergic SIGNALING in the locomotory control circuit , thus resulting in an increased turn frequency .	...dopamine , released in response to food , modulates glutamatergic signaling in...
accelerated	81	production	In trypsinized cells , DOPAMINE ACCELERATED both PRODUCTION of reactive oxygen species and cell death in hDAT and wt or A30P , but not A53 T , coexpressing cells , compared to nontrypsinized cells .	...dopamine accelerated both production of...
modulates	10	heartbeat	We show several lines of evidence that DOPAMINE MODULATES the HEARTBEAT of adult L. exotica affecting both pacemaker sites in the heart .	...dopamine modulates the heartbeat of...
increased	1	duration	Moreover , DOPAMINE slowly INCREASED the amplitude and DURATION of the action potential plateau ( plateau potential ) of the myocardium .	...dopamine slowly increased the amplitude and duration of...
increased	1	duration	When the myocardial pacemaker activity was induced by application of tetrodotoxin , which suppresses cardiac ganglion activity , DOPAMINE slowly INCREASED the amplitude and DURATION of the myocardial plateau potential while decreasing its frequency .	...dopamine slowly increased the amplitude and duration of...
modulates	10	myocardium	These results suggest that DOPAMINE MODULATES the heartbeat in adult L. exotica producing a dual effect on the two pacemaker sites in the heart , the cardiac ganglion and MYOCARDIUM .	...dopamine modulates the heartbeat in adult L. exotica producing a dual effect on the two pacemaker sites in the heart , the cardiac ganglion and myocardium ....
has	4	role	These results suggest that DOPAMINE HAS a ROLE in modulating both automatic and attentional aspects of semantic activation according to a specific time course .	...dopamine has a role in...
cause	47	harm	Furthermore , DOPAMINE may CAUSE HARM by impairing mucosal blood flow and by aggravating reduced gastric motility .	...dopamine may cause harm by...
regulated	-1	coupling	This study supported previous observations that DOPAMINE REGULATED A-type horizontal cell COUPLING via D1 receptors at the level of transcription .	...dopamine regulated A-type horizontal cell coupling via...
recruited	-1	receptors	In addition , we observed , by using radioligand binding and immunoblotting , that DOPAMINE RECRUITED D1A RECEPTORS to cell surface in lean Zucker rats but failed to do so in obese rats .	...dopamine recruited D1A receptors to...
